Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
asphaltdark_00008.sed:C4,asphalt_dark__,As,8/5/2021,_10_39_57_10_40_54,64.86023,-147.8507,192.8
asphaltdark_00009.sed:C4,_asphalt_dark_,As,8/5/2021,_10_39_57_10_41_10,64.86023,-147.85067,192.5
asphaltdark_00010.sed:C4,_asphalt_dark_,As,8/5/2021,_10_39_57_10_41_26,64.86023,-147.85067,192
birch__00041.sed:C4,_birch,PB,8/2/2021,_15_57_21_15_57_57,64.85924,-147.85282,200.8
birch__00042.sed:C4,birch_,PB,8/2/2021,_15_57_21_15_58_20,64.85924,-147.85281,200.6
birch__00043.sed:C4,_birch,PB,8/2/2021,_15_57_21_15_58_47,64.85924,-147.85281,200.3
birch__00044.sed:C4,_birch,PB,8/2/2021,_15_57_21_15_59_02,64.85924,-147.85281,200.3
birch__00045.sed:C4,_birch,PB,8/2/2021,_15_57_21_15_59_15,64.85924,-147.85281,200.3
birch__00046.sed:C4,_birch,PB,8/2/2021,_15_57_21_15_59_28,64.85924,-147.85281,200.2
birch__00047.sed:C4,_birch,PB,8/2/2021,_15_57_21_15_59_39,64.85924,-147.85281,200.2
fireweed_00044.sed:C4,_fireweed,FW,8/5/2021,_12_05_30_12_06_03,64.85684,-147.85641,172.3
fireweed_00045.sed:C4,_fireweed,FW,8/5/2021,_12_05_30_12_06_19,64.85684,-147.85641,172.2
fireweed_00046.sed:C4,_fireweed_,FW,8/5/2021,_12_05_30_12_06_37,64.85684,-147.85641,172.2
fireweed_00047.sed:C4,_fireweed_,FW,8/5/2021,_12_05_30_12_07_07,64.85684,-147.85641,172
fireweed_00048.sed:C4,_fireweed,FW,8/5/2021,_12_05_30_12_07_29,64.85684,-147.85641,172
fireweed_00049.sed:C4,_fireweed,FW,8/5/2021,_12_12_26_12_12_51,64.85686,-147.85643,173.6
fireweed_00050.sed:C4,_fireweed,FW,8/5/2021,_12_12_26_12_13_04,64.85686,-147.85643,173.6
fireweed_00051.sed:C4,_fireweed,FW,8/5/2021,_12_12_26_12_13_20,64.85686,-147.85643,173.5
fireweed_00052.sed:C4,_fireweed,FW,8/5/2021,_12_12_26_12_13_39,64.85686,-147.85643,173.3
fireweed_00053.sed:C4,_fireweed__,FW,8/5/2021,_12_12_26_12_13_55,64.85686,-147.85643,173.2
fireweed_00054.sed:C4,_fireweed_,FW,8/5/2021,_12_12_26_12_14_12,64.85686,-147.85643,173.1
horsetail__00006.sed:C4,_horsetail,HT,8/2/2021,_13_09_16_13_10_26,64.86192,-147.86475,178.6
horsetail__00007.sed:C4,_horsetail,HT,8/2/2021,_13_09_16_13_10_58,64.86192,-147.86475,178.6
